skróty,rozwinięcie skrótów zgodnie z dotychczasowymi pracami,wartość ujednolicona,,skrót,rozwinięcie
10TysRycerzy MM,10 Tysięcy Rycerzy Męczenników,10 Tysięcy Rycerzy Męczenników,,Ap,Apostoł
11Tys PPMM,Urszula i Towarzyszki Panny i Męczennice,Urszula i Towarzyszki Panny i Męczennice,,AAp,Apostołowie
40 MM,Czterdziestu Męczenników,Czterdziestu Męczenników,,Bp,Biskup
Achacjusz i Towarzysze MM,Achacjusz i Towarzysze Męczennicy,Achacjusz i Towarzysze Męczennicy,,BBp,Biskupi
Adam,Adam,Adam,,BBpWW,Biskupi i Wyznawcy
Adam O,Adam Opat,Adam Opat,,Ew,Ewangelista
Adrian M,Adrian Męczennik,Adrian Męczennik,,Kr,Król
Agata PM,Agata Panna Męczennica,Agata Panna i Męczennica,,M,Męczennica/Męczennik
Agnieszka,Agnieszka,Agnieszka,,MM,Męczennicy/Męczennice
Agnieszka PM,Agnieszka Panna Męczennica,Agnieszka Panna i Męczennica,,O,Opat
Albert,Albert,Albert,,P,Panna
Aleksander,Aleksander,Aleksander,,PM,Panna Męczennica
Aleksander Bp,Aleksander Biskup,Aleksander Biskup,,PPMM,Panny Męczennice
Aleksander PpM,Aleksander Papież Męczennik,Aleksander Papież i Męczennik,,Pp,Papież
Aleksy W,Aleksy Wyznawca,Aleksy Wyznawca,,PpM,Papież Męczennik
Anastazy M,Anastazy Męczennik,Anastazy Męczennik,,Wd,Wdowa
Andrzej Ap,Andrzej Apostoł,Andrzej Apostoł,,W,Wyznawca
Anioł Stróż,Anioł Stróż,Święci Aniołowie Stróże,,,
Aniołowie i Archaniołowie,Aniołowie i Archaniołowie,Aniołowie i Archaniołowie,,,
Aniołowie Stróże,Święci Aniołowie Stróże,Święci Aniołowie Stróże,,,
Anna,Anna,Anna,,Skróty łacińskie,
Anna Matka NMP,Anna Matka Najświętszej Maryi Panny,Anna Matka Najświętszej Maryi Panny,,OO. SS.,Wszyscy Święci
Antoni,Antoni,Antoni,,Exaltatio S. Crucis,Podwyższenie Krzyża Św.
Antoni O,Antoni Opat,Antoni Opat,,Mart.,Męczennik
Antoni Pad,Antoni Padewski,Antoni Padewski,,Nativ. B. V. M. ,Narodzenie Najświętszej Maryi Panny
Antoni W,Antoni Wyznawca,Antoni Wyznawca,,Nativ. B. V. Mariae,Narodzenie Najświętszej Maryi Panny
Anzelm Bp,Anzelm Biskup,Anzelm Biskup,,S. Spiritus,Duch Św.
Apolonia PM,Apolonia Panna Męczennica,Apolonia Panna i Męczennica,,SSS. Trinit.,Trójca Św.
Augustyn Bp,Augustyn Biskup,Augustyn Biskup,,SSS. Trinitatis,Trójca Św.
Barbara,Barbara,Barbara,,Transfig. D. N. J. Chr.,Przemienienie Pańskie
Barbara M,Barbara Panna Męczennica,Barbara Panna Męczennica,,Transfiguratio D. N. J. Chr.,Przemienienie Pańskie
Barbara PM,Barbara Panna Męczennica,Barbara Panna Męczennica,,,
Barnaba Ap,Barnaba Apostoł,Barnaba Apostoł,,,
Bartłomiej,Bartłomiej Apostoł,Bartłomiej Apostoł,,Imiona,
Bartłomiej Ap,Bartłomiej Apostoł,Bartłomiej Apostoł,,Jakub W,Jakub Większy
Bartłomiej Apostoł,Bartłomiej Apostoł,Bartłomiej Apostoł,,Jan Ch,Jan Chrzciciel
Bazyli Bp,Bazyli Wielki,Bazyli Wielki,,Michał A,Michał Archanioł
Bazyli W,Bazyli Wielki,Bazyli Wielki,,,
Bazyli W T,Bazyli Wielki,Bazyli Wielki,,,
Benedykt M,Benedykt Męczennik,Benedykt Męczennik,,,
Benedykt O,Benedykt Opat,Benedykt Opat,,,
Benon,Benon,Benon,,,
Benon Bp,Benon Biskup,Benon Biskup,,,
Bernard O,Bernard z Clairvaux,Bernard z Clairvaux,,,
Bernardyn W,Bernardyn ze Sieny,Bernardyn ze Sieny,,,
Bogumił Bp,Bogumił Biskup,Bogumił Biskup,,,
Bogurodzica Maryja,Święta Boża Rodzicielka Maryja,Święta Boża Rodzicielka Maryja,,,
Bolesna NMP,Najświętsza Maryja Panna Bolesna,Najświętsza Maryja Panna Bolesna,,,
Bonawentura,Bonawentura Biskup i Doktor Kościoła,Bonawentura Biskup i Doktor Kościoła,,,
Bonawentura Bp,Bonawentura Biskup i Doktor Kościoła,Bonawentura Biskup i Doktor Kościoła,,,
Bonifacy Bp,Bonifacy Biskup,Bonifacy Winfrid Biskup i Męczennnik,,,
Borys i Gleb MM,Borys i Gleb Męczennicy,Borys i Gleb Męczennicy,,,
Bronisława,Bronisława Panna,Bronisława Panna,,,
Bruno Bp,Bruno Biskup,Bruno z Kwerfurtu Biskup i Męczennik,,,
Brygida,Brygida,Brygida,,,
Carceris Christi (Ogrójec),Więzienie Jezusa Chrystusa,Więzienie Jezusa Chrystusa,,,
Cecylia PM,Cecylia Panna Męczennica,Cecylia Panna i Męczennica,,,
ChrPZbawiciel,Chrystus Zbawiciel,Chrystus Zbawiciel,,,
Chrystus Kr,Chrystus Król,Chrystus Król,,,
Cuda Michała A,Cuda Michała Archanioła,Cuda Michała Archanioła,,,
Cyriak Bp,Cyriak Męczennik,Cyriak Męczennik,,,
Cyryl i Metody BBpWW,Cyryl i Metody Biskupi Wyznawcy,Cyryl i Metody Biskupi i Wyznawcy,,,
Czesław W,Czesław Wyznawca,Czesław Wyznawca,,,
Czterej Ew,Czterej Ewangeliści,Czterej Ewangeliści,,,
Damian M,Damian Męczennik,Damian Męczennik,,,
Daniel,Daniel,Daniel,,,
Demetriusz M,Demetriusz Męczennik,Demetriusz Męczennik,,,
Dionizy M,Dionizy Męczennik,Dionizy Męczennik,,,
DKrzyża Św,Drzewo Krzyża Świętego,Drzewo Krzyża Świętego,,,
Dobry Pasterz,Chrystus Dobry Pasterz,Chrystus Dobry Pasterz,,,
Dominik W,Dominik Guzmán,Dominik Guzmán,,,
Dorota PM,Dorota Panna Męczennica,Dorota Panna i Męczennica,,,
Duch Św,Duch Święty,Duch Święty,,,
Duch Św.,Duch Święty,Duch Święty,,,
Edward W,Edward Wyznawca,Edward Wyznawca,,,
Eliasz Pr,Eliasz Prorok,Eliasz Prorok,,,
Elżbieta,Elżbieta,Elżbieta,,,
Elżbieta Wd,Elżbieta Turyngska,Elżbieta Turyngska,,,
Elżbieta Wdowa,Elżbieta Turyngska,Elżbieta Turyngska,,,
